,Make,Model,Body style,Year,Car location,Mileage,Transmission,Steering wheel,State,Color,Engine,Engine volume,Interior color,Doors,Power,Wheels,Drive,Cylinders,VIN Code
112,Chevrolet,Malibu,Sedan,2018,"Armenia, Գյումրի",41000 mile,Automatic,Left,Good,Blue,Petrol,1.5,Black,4,175,"16""",Front,8,
113,Opel,Zafira,Sedan,2005,"Armenia, Երևան",280000 km,Manual,Left,Good,Azure,,,,,,,,,
114,Toyota,Camry,Sedan,2019,"Armenia, Yerevan",41000 km,Automatic,Left,Excellent,Black,,,,,,,,,
115,Mercedes-Benz,124,Sedan,1995,"Armenia, Երևան",450000 km,Automatic,Left,Good,Silver,,,,,,,,,
116,Mercedes-Benz,GLS-Class,SUV,2021,"Armenia, Երևան",1000 km,Automatic,Left,Excellent,Black,,,,,,,,,
117,Peugeot,308,Hatchback,2010,"Armenia, Երևան",168000 km,Automatic,Left,Good,White,,,,,,,,,
118,BMW,320,Sedan,1999,"Armenia, Երևան",240000 km,Manual,Left,Normal,Silver,,,,,,,,,
119,Kia,Forte,Sedan,2016,"Armenia, Երևան",102500 mile,Automatic,Left,Excellent,Cherry,Petrol,2,Gray,4,147,"16""",Front,16,3KPFK4A79NE108028
120,Nissan,Tiida,Sedan,2006,"Armenia, Երևան",127000 km,Automatic,Right,Excellent,Black,Gas,1.1,Black,5,,"15""",Front,,
121,Toyota,Camry,Sedan,2015,"Armenia, Երևան",111406 km,Automatic,Left,Excellent,Black,Petrol,2.5,Black,5,,"17""",Front,,
122,Honda,CR-V,SUV,2000,"Armenia, Երևան",125000 mile,Automatic,Left,Excellent,Green,Gas,2,Black,5,147,"15""",All,4,JHLRD186X1C007082
123,Chevrolet,Cruze,Sedan,2018,"Armenia, Երևան",61000 mile,Automatic,Left,Excellent,Silver,,,,,,,,,
124,Land Rover,Range Rover Velar,SUV,2022,"Armenia, Երևան",0 km,Automatic,Left,Excellent,White,Petrol,2,Black,5,249,"19""",All,4,
125,Volkswagen,Passat,Sedan,2012,"Armenia, Երևան",133000 km,Automatic,Left,Good,Gray,Petrol,2.5,Black,4,170,"17""",Front,5,1VWCP7A31DC078220
